avg rate of infection,population,avgTemp,avgPrecip,percentage of smokers,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr
2.222222222,206428,49.7,39.1,19%,2.433,1.3,.,.,0.08,0.071,.,.,.,.
4.857142857,101883,49.7,39.1,21%,2.433,1.3,.,.,.,.,.,.,26,13
34.12820513,1235072,49.7,39.1,20%,4.4,2.3,45,10,0.08,0.07,27,10.9,79,31
2.875,93649,49.7,39.1,17%,2.433,1.3,.,.,0.08,0.068,.,.,.,.
3.407407407,176862,49.7,39.1,19%,2.433,1.3,.,.,0.07,0.062,.,.,.,.
6.5,309833,49.7,39.1,18%,2.433,1.3,.,.,0.07,0.058,21,7.4,19,10
19.51515152,428348,49.7,39.1,21%,2.433,1.3,.,.,0.08,0.065,25,8.8,.,.
16.51612903,228683,49.7,39.1,20%,2.433,1.3,.,.,0.07,0.064,21,9.2,34,15
4.233333333,106987,49.7,39.1,18%,2.433,1.3,.,.,0.07,0.059,.,.,.,.
5.513513514,370606,49.7,39.1,19%,1,0.7,.,.,0.08,0.065,19,9.3,.,.
5.638888889,197974,49.7,39.1,20%,2.433,1.3,.,.,0.08,0.067,20,9.1,23,11
2.03125,148306,59.1,36.5,15%,1.5,0.9,.,.,0.08,0.065,.,.,.,.
9.121212121,284014,59.1,36.5,16%,1.5,0.9,.,.,0.07,0.064,20,10,.,.
14.2,797434,59.1,36.5,17%,1.7,1,.,12,0.08,0.066,21,9.7,63,17
8.952380952,651552,59.1,36.5,18%,1.3,0.8,.,7,0.08,0.066,23,9.5,36,16
4.166666667,418187,46.9,27.4,13%,1.8,1.4,.,.,0.08,0.065,.,.,.,.
11.78947368,812855,46.9,27.4,16%,1.8,1.4,32,8,0.08,0.058,20,6.5,29,11
27.20588235,1216045,47.4,42.9,17%,5.8,3,35,10,0.08,0.064,65,14.2,86,23
5.419354839,163929,47.4,42.9,19%,3,1.833333333,37,7,0.08,0.063,21,9.1,40,17
47.3,421164,47.4,42.9,17%,3,1.833,.,.,0.08,0.066,.,.,.,.
41.78378378,628270,47.4,42.9,14%,3,1.833,.,.,0.08,0.067,.,.,.,.
2.607142857,162385,47.4,42.9,17%,3,1.833,29,3,0.07,0.059,25,9.8,.,.
11.03846154,278299,47.4,42.9,19%,3,1.833,.,.,0.07,0.063,29,8.7,.,.
48.92857143,566747,47.4,42.9,15%,3,1.833,.,8,0.09,0.069,.,.,.,.
18.63333333,209674,47.4,42.9,20%,1,0.8,42,8,0.07,0.063,.,.,.,.
13.10344828,141793,47.4,42.9,16%,3,1.833,.,.,0.08,0.065,26,8.5,.,.
60.57575758,369318,47.4,42.9,18%,3,1.833,.,.,0.07,0.064,26,8.5,31,13
48.81818182,317417,47.4,42.9,19%,3,1.833,.,.,0.07,0.059,.,.,26,12
211.7105263,1584064,47.4,42.9,21%,2.2,1.7,52,13,0.09,0.072,25,8.7,49,18
7.555555556,164292,47,47.9,14%,.,.,.,.,0.08,0.064,11,3.9,.,.
2.25,170872,62,49.8,15%,1.1,.,.,.,0.08,0.066,.,.,.,.
9.119047619,411406,62,49.8,16%,1.1,.,.,.,0.08,0.064,14,6.9,54,15
13.21212121,523542,62,49.8,15%,1.1,.,.,8,0.08,0.068,19,8.2,31,13
4.696969697,354081,62,49.8,17%,1.1,.,.,.,0.07,0.064,.,.,.,.
7.852941176,298750,62,49.8,16%,1.1,.,.,.,.,.,15,8.1,35,15
4.975,319785,62,49.8,17%,1.1,.,.,.,0.09,0.068,15,7.7,.,.
28.02631579,193134,44.8,20.1,15%,1.1,0.5,31,5,0.07,0.065,23,6.9,37,12
39,694144,57.3,54.2,18%,1.7,1.3,51,14,0.08,0.065,16,7.8,32,15
16.36666667,191283,57.3,54.2,18%,2.3625,1.3,.,.,0.08,0.066,17,7.3,.,.
3.285714286,362924,65.1,28.9,15%,2.363,1.6,27,3,0.08,0.067,.,.,.,.
13.86153846,2003554,65.1,28.9,15%,1.6,1.1,40,7,0.08,0.075,22,9.1,.,.
2.21875,93245,65.1,28.9,17%,2.363,1.6,.,.,.,.,19,9.3,.,.
8,374264,65.1,28.9,13%,2.363,1.6,32,5,0.1,0.079,.,.,.,.
8.75862069,423163,65.1,28.9,13%,2.363,1.6,.,.,0.07,0.059,25,9.7,.,.
12.66666667,1034730,65.1,28.9,12%,2.363,1.6,.,.,0.1,0.076,.,.,.,.
54.36842105,2635516,65.1,28.9,15%,1.7,1.3,44,10,0.09,0.073,20,9.3,40,20
17.09090909,887207,65.1,28.9,13%,2.363,1.6,33,6,0.09,0.073,.,.,.,.
2.677419355,184826,65.1,28.9,13%,2.363,1.6,32,5,0.07,0.063,.,.,.,.
9.357142857,839238,65.1,28.9,14%,3.7,2.4,.,14,0.09,0.075,.,.,79,33
12.02857143,342139,65.1,28.9,19%,2.363,1.6,28,3,0.09,0.079,.,.,45,17
